hours_since_cooking,initial_hours_at_room_temp,storage_location,cooling_method,observed_smell,observed_appearance,Spoilage_Index
75,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
60,60,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
42,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
71,71,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
71,71,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
65,65,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
64,64,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
47,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
1,0,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
46,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
91,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
72,5,Refrigerator,Left to cool in deep pot,Normal,Dull/Dry,2
67,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
36,36,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
15,4,Refrigerator,Left to cool in deep pot,Normal,Dull/Dry,2
39,39,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
27,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
79,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
35,35,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
72,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
82,82,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
25,25,Room Temperature,Not Applicable,Stale/Slightly Off,Normal/Glossy,2
71,71,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
32,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
18,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
27,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
29,4,Refrigerator,Cooled in shallow container,Normal,Dull/Dry,2
5,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
14,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
67,67,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
81,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
93,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
9,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
17,3,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
79,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
11,11,Room Temperature,Not Applicable,Normal,Dull/Dry,2
96,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
3,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
62,62,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
61,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
94,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
73,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
27,3,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
84,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
85,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
41,4,Refrigerator,Left to cool in deep pot,Normal,Dull/Dry,2
91,91,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
75,75,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
31,5,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,2
44,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
74,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
33,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
53,4,Refrigerator,Cooled in shallow container,Stale/Slightly Off,Dull/Dry,2
19,19,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
36,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
57,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
22,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
89,89,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
16,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
14,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
13,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
65,65,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
79,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
24,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
91,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
2,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
92,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
58,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
80,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
67,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
82,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
19,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
46,46,Room Temperature,Not Applicable,Stale/Slightly Off,Normal/Glossy,2
67,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
5,5,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
86,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
76,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
80,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
49,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
64,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
56,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
78,78,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
59,59,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
1,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
61,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
28,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
4,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
15,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
24,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
88,88,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
85,85,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
32,32,Room Temperature,Not Applicable,Stale/Slightly Off,Normal/Glossy,2
18,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
66,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
85,85,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
21,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
31,31,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
4,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
13,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
53,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
12,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
54,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
28,4,Refrigerator,Cooled in shallow container,Stale/Slightly Off,Dull/Dry,2
6,6,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
2,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
44,44,Room Temperature,Not Applicable,Stale/Slightly Off,Dull/Dry,2
21,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
64,64,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
81,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
70,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
85,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
50,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
52,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
95,4,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,2
32,4,Refrigerator,Left to cool in deep pot,Normal,Dull/Dry,2
81,81,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
69,69,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
94,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
40,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
48,4,Refrigerator,Left to cool in deep pot,Normal,Dull/Dry,2
20,20,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
16,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
52,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
28,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
7,7,Room Temperature,Not Applicable,Stale/Slightly Off,Normal/Glossy,2
95,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
52,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
86,4,Refrigerator,Left to cool in deep pot,Normal,Dull/Dry,2
15,3,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
37,5,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,2
37,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
20,4,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,2
50,50,Room Temperature,Not Applicable,Foul/Musty,Slimy/Discolored,3
17,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
20,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
79,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
82,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
93,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
51,51,Room Temperature,Not Applicable,Stale/Slightly Off,Dull/Dry,2
4,4,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
31,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
39,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
7,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
37,37,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
25,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
1,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
28,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
9,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
78,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
25,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
63,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
51,4,Refrigerator,Left to cool in deep pot,Normal,Dull/Dry,2
47,4,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,2
49,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
43,43,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
63,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
36,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
75,75,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
41,41,Room Temperature,Not Applicable,Normal,Dull/Dry,2
94,94,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
36,5,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,2
52,52,Room Temperature,Not Applicable,Stale/Slightly Off,Normal/Glossy,2
42,42,Room Temperature,Not Applicable,Stale/Slightly Off,Normal/Glossy,2
24,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
33,33,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
40,4,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,2
31,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
26,26,Room Temperature,Not Applicable,Normal,Dull/Dry,2
29,29,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
86,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
91,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
40,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
4,3,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
26,26,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
37,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
92,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
71,71,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
69,69,Room Temperature,Not Applicable,Foul/Musty,Slimy/Discolored,3
80,80,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
41,4,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Normal/Glossy,2
92,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
39,4,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,2
37,37,Room Temperature,Not Applicable,Normal,Dull/Dry,2
73,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
82,4,Refrigerator,Cooled in shallow container,Normal,Dull/Dry,2
78,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
96,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
23,3,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
30,3,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
63,63,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
82,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
35,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
19,3,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
3,0,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
25,4,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,2
95,95,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
22,3,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
62,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
57,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
90,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
96,96,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
59,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
84,4,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,2
71,71,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
51,5,Refrigerator,Cooled in shallow container,Normal,Dull/Dry,2
3,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
64,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
55,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
2,0,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
20,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
88,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
67,67,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
55,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
75,75,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
77,4,Refrigerator,Cooled in shallow container,Normal,Dull/Dry,2
15,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
4,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
70,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
16,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
20,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
34,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
21,21,Room Temperature,Not Applicable,Normal,Dull/Dry,2
33,3,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
46,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
28,28,Room Temperature,Not Applicable,Stale/Slightly Off,Dull/Dry,2
50,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
36,36,Room Temperature,Not Applicable,Normal,Dull/Dry,2
49,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
49,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
54,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
72,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
65,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
30,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
25,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
10,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
66,66,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
19,4,Refrigerator,Left to cool in deep pot,Normal,Dull/Dry,2
54,4,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,2
55,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
27,27,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
74,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
92,92,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
75,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
65,4,Refrigerator,Cooled in shallow container,Normal,Dull/Dry,2
66,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
46,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
8,8,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
55,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
54,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
30,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
83,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
32,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
17,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
85,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
25,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
52,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
23,23,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
19,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
80,80,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
94,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
34,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
69,69,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
33,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
26,26,Room Temperature,Not Applicable,Stale/Slightly Off,Dull/Dry,2
93,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
39,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
28,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
52,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
93,4,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Normal/Glossy,2
3,3,Room Temperature,Not Applicable,Normal,Normal/Glossy,0
19,19,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
84,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
55,55,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
26,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
2,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
55,5,Refrigerator,Left to cool in deep pot,Normal,Dull/Dry,2
53,53,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
15,4,Refrigerator,Cooled in shallow container,Stale/Slightly Off,Normal/Glossy,2
78,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
91,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
25,25,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
33,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
94,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
32,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
92,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
93,93,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
22,22,Room Temperature,Not Applicable,Stale/Slightly Off,Normal/Glossy,2
2,2,Room Temperature,Not Applicable,Normal,Normal/Glossy,0
4,4,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
3,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
